"Date","Price","Open","High","Low","Vol.","Change %"
"01/09/2025","32.275","32.275","32.285","31.880","0.08K","2.07%"
"29/08/2025","31.622","31.750","31.870","31.600","3.28K","0.20%"
"28/08/2025","31.559","31.275","31.275","31.275","0.00K","-3.05%"
"27/08/2025","32.551","32.700","32.815","32.590","1.27K","-2.72%"
"26/08/2025","33.460","33.600","33.690","33.300","0.26K","-0.93%"
"25/08/2025","33.774","33.275","33.820","33.250","0.06K","0.60%"
"22/08/2025","33.573","33.400","33.600","33.065","0.41K","1.20%"
"21/08/2025","33.175","32.245","33.395","32.015","1.96K","3.98%"
"20/08/2025","31.906","31.375","32.275","31.225","2.63K","2.17%"
"19/08/2025","31.227","30.725","31.375","30.725","3.63K","-0.14%"
"18/08/2025","31.272","30.650","31.485","30.650","2.64K","0.78%"
"15/08/2025","31.031","31.975","31.975","30.795","2.52K","-3.45%"
"14/08/2025","32.141","32.860","32.860","31.950","1.95K","-1.41%"
"13/08/2025","32.600","32.615","32.800","32.485","2.31K","0.59%"
"12/08/2025","32.409","33.065","33.065","32.215","2.08K","-1.79%"
"11/08/2025","32.999","32.490","33.125","32.400","2.69K","1.70%"
"08/08/2025","32.446","32.780","33.410","32.155","3.78K","-1.53%"
"07/08/2025","32.951","32.950","33.150","32.845","2.79K","-0.92%"
"06/08/2025","33.257","33.995","34.105","33.080","1.60K","-3.34%"
"05/08/2025","34.406","34.190","34.440","33.790","7.53K","0.36%"
"04/08/2025","34.283","34.065","34.370","33.660","6.74K","0.92%"
"01/08/2025","33.972","35.150","35.160","33.770","2.90K","-3.70%"
"31/07/2025","35.279","34.685","35.425","34.645","4.92K","2.15%"
"30/07/2025","34.537","33.650","33.650","33.650","0.01K","1.27%"
"29/07/2025","34.103","34.103","34.103","34.103","0.08K","3.66%"
"28/07/2025","32.899","32.295","33.030","32.130","0.25K","1.23%"
"25/07/2025","32.499","32.100","32.650","32.100","0.41K","0.44%"
"24/07/2025","32.358","32.385","32.435","32.175","5.14K","-1.02%"
